"","num","min","max","filename"
"1","1","101","1221948","08_01.fst"
"2","2","1221950","2332157","08_02.fst"
"3","3","2332159","3389825","08_03.fst"
"4","4","3389827","4289847","08_04.fst"
"5","5","4289849","5207114","08_05.fst"
"6","6","5207116","6245534","08_06.fst"
"7","7","6245538","7286978","08_07.fst"
"8","8","7286980","8190697","08_08.fst"
"9","9","8190699","9052221","08_09.fst"
"10","10","9052223","10041682","08_10.fst"
"11","11","10041684","11209890","08_11.fst"
"12","12","11209892","12262838","08_12.fst"
"13","13","12262840","13256363","08_13.fst"
"14","14","13256365","14482852","08_14.fst"
"15","15","14482854","15588602","08_15.fst"
"16","16","15588604","17078259","08_16.fst"
"17","17","17078261","18108918","08_17.fst"
"18","18","18108920","19016427","08_18.fst"
"19","19","19016429","19871624","08_19.fst"
"20","20","19871626","20916773","08_20.fst"
"21","21","20916775","21873949","08_21.fst"
"22","22","21873951","22913646","08_22.fst"
"23","23","22913648","23685566","08_23.fst"
"24","24","23685568","24506606","08_24.fst"
"25","25","24506608","1180001802","08_25.fst"
